,train,validation,test
0,982.9640951156616,32.8389618396759,33.3370041847229
1,1187.1199254989624,29.931577444076538,31.316445112228394
2,864.196005821228,34.614001750946045,
3,2537.0151624679565,64.71704411506653,64.56496262550354
4,1080.3234219551086,38.31899547576904,
5,879.6947338581085,36.20800065994263,
6,1190.5282199382782,36.81571841239929,37.65132713317871
7,1019.6019475460052,36.418002128601074,
8,978.0091881752014,36.687294244766235,
9,2744.7313244342804,45.149224042892456,46.608062505722046
10,909.0417945384979,31.867870330810547,
11,2505.123316049576,58.54265999794006,
12,1182.1055102348328,39.01599597930908,
13,2843.96985411644,51.34854006767273,55.126604318618774
14,905.1799237728119,32.29843521118164,
15,836.2983260154724,33.50259733200073,
16,993.7605063915253,35.667033433914185,
17,854.0738985538483,34.62887907028198,
18,2910.9147424697876,56.531901597976685,
19,985.6125085353851,35.687000036239624,
20,2656.294195652008,56.07173180580139,
21,853.356885433197,32.72396111488342,
22,851.9484765529633,31.682108879089355,
23,834.4014151096344,26.601083040237427,
24,924.7776048183441,35.9869966506958,
25,2301.241253376007,44.0115270614624,
26,884.5648319721222,32.7259464263916,
27,2051.9662923812866,43.013845682144165,
28,1564.464523077011,40.21259355545044,
29,826.4030301570892,31.767914295196533,
30,1270.802592754364,34.603965282440186,
31,832.6608302593231,31.33333683013916,
32,2973.0496649742126,58.48317265510559,
33,2412.46666431427,46.534995794296265,
34,2397.166244029999,53.89205360412598,
35,1208.156625032425,33.17560648918152,
36,870.9363698959351,33.39099669456482,
37,887.337069272995,33.23508667945862,
38,2780.0458443164825,54.38133955001831,
39,1106.0657577514648,35.70655703544617,
40,941.76238322258,35.782005071640015,
41,842.8157439231873,34.08499717712402,
42,923.1439843177795,35.11900234222412,
43,830.2048370838165,25.606395721435547,
44,2160.622654914856,41.668596506118774,
45,950.0065865516663,35.39966177940369,
46,782.0255570411682,32.13699746131897,
47,2934.631662607193,60.916481256484985,
48,814.4410102367401,31.581082105636597,
49,882.9564619064331,35.4179949760437,
50,806.4668614864349,27.679295778274536,
51,905.2938842773438,34.120113134384155,
52,2787.0578718185425,48.340235233306885,
53,872.4070563316345,31.250004291534424,
54,953.3769388198853,40.202717781066895,
55,2913.983222961426,44.907999753952026,
56,1139.1359059810638,28.879244565963745,
57,1065.4024982452393,40.562963008880615,
58,955.8766479492188,36.611698150634766,
59,1026.289184331894,27.04870343208313,
60,1068.4378035068512,33.07208514213562,
61,864.6357944011688,29.695340394973755,
62,1016.2464511394501,28.20111346244812,
63,858.6644172668457,32.622748613357544,
64,2681.4803550243378,53.934067249298096,
65,1050.3400919437408,43.55599904060364,
66,1012.6710066795349,35.90499997138977,
67,2023.5883705615997,42.15199828147888,
68,3148.9347841739655,48.79978537559509,
69,870.8702592849731,32.91299891471863,
70,884.8528394699097,32.24855923652649,
71,865.3569581508636,31.838539838790894,
72,914.7217085361481,24.348999738693237,
73,774.4772667884827,30.69099736213684,
74,2636.8722953796387,52.72831201553345,
75,2510.5129914283752,50.99522256851196,
76,917.2955350875854,32.540993452072144,
77,797.1948435306549,30.985644578933716,
78,853.5605943202972,30.62113308906555,
79,850.8576264381409,27.710267543792725,
80,2612.365633249283,54.75115704536438,
81,1012.0461964607239,27.26161551475525,
82,799.7745883464813,29.92306637763977,
83,2722.5437853336334,57.95578670501709,
84,2599.9239585399628,58.7461998462677,
85,1465.3894531726837,33.17623424530029,
86,2632.217114210129,54.19405913352966,
87,782.6137959957123,23.28209924697876,
88,942.7029280662537,32.93577575683594,
89,789.5104975700378,30.539013385772705,
90,806.9183769226074,29.868003606796265,
91,802.9551160335541,31.80200505256653,
92,772.9415831565857,30.451002597808838,
93,868.1283221244812,31.408620357513428,
94,769.4207603931427,28.851151943206787,
95,805.4583239555359,30.671995639801025,
96,960.0762031078339,34.053001165390015,
97,828.6593780517578,23.89699935913086,
98,780.9518265724182,31.585105180740356,
99,2514.9372251033783,53.742589712142944,
100,923.6900217533112,33.28683423995972,
101,808.2477560043335,30.40960383415222,
102,813.0133953094482,23.171999216079712,
103,799.9550430774689,29.19270658493042,
104,789.1167106628418,30.08167862892151,
105,813.2712843418121,29.120232582092285,
106,1953.6024041175842,43.52469444274902,
107,1649.758994102478,36.93050789833069,
108,2756.0761198997498,66.38252115249634,
109,3195.9058196544647,64.48567295074463,
110,1000.9368121623993,39.74100065231323,
111,1457.591720342636,46.76900053024292,
112,1387.5245702266693,46.14500069618225,
113,1107.287929058075,25.15299892425537,
114,984.6502687931061,39.424572706222534,
115,3481.5915513038635,87.15600180625916,
116,4126.9190356731415,75.30299782752991,
117,5789.8137819767,84.6298451423645,
118,1305.8969595432281,48.36199975013733,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
355,,,
356,,,
357,,,
358,,,
359,,,
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
403,,,
404,,,
405,,,
406,,,
407,,,
408,,,
409,,,
410,,,
411,,,
412,,,
413,,,
414,,,
415,,,
416,,,
417,,,
418,,,
419,,,
420,,,
421,,,
422,,,
423,,,
424,,,
425,,,
426,,,
427,,,
428,,,
429,,,
430,,,
431,,,
432,,,
433,,,
434,,,
435,,,
436,,,
437,,,
438,,,
439,,,
440,,,
441,,,
442,,,
443,,,
444,,,
445,,,
446,,,
447,,,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,,,
455,,,
456,,,
457,,,
458,,,
459,,,
460,,,
461,,,
462,,,
463,,,
464,,,
465,,,
466,,,
467,,,
468,,,
469,,,
470,,,
471,,,
472,,,
473,,,
474,,,
475,,,
